,Emp No,Month,Department,rank,week_ot,weekend_ot,night_ot,net_ot,weekend_ratio
0,0,1,B,G1S,5.625,6.875,3.75,4.0,0.0
1,1,1,D,G1D,25.0,2.142857142857143,2.142857142857143,22.857142857142858,0.09375
2,2,1,B,G1S,0.625,3.125,0.625,4.0,0.0
3,3,1,C,G3,18.260869565217394,1.9047619047619047,9.56521739130435,16.35610766045549,0.11645569620253161
4,4,1,A,G1S,1.25,0.0,0.0,1.25,0.0
5,5,1,B,G1S,26.875,6.875,1.875,20.0,0.34375
6,6,1,D,G1D,21.42857142857143,4.285714285714286,6.428571428571429,17.142857142857146,0.24999999999999994
7,7,1,D,G2,28.18181818181818,1.8181818181818181,3.6363636363636362,26.363636363636363,0.06896551724137931
8,8,1,C,G1D,2.857142857142857,5.714285714285714,7.142857142857143,7.0,0.0
9,9,1,B,G1D,4.285714285714286,5.0,5.0,7.0,0.0
10,10,1,A,G1S,15.625,6.25,3.125,9.375,0.6666666666666666
11,11,1,C,G1S,20.625,6.875,6.25,13.75,0.5
12,12,1,C,G2,13.636363636363635,6.363636363636363,5.454545454545454,7.272727272727272,0.8750000000000001
13,13,1,D,G1D,2.857142857142857,5.0,7.142857142857143,7.0,0.0
14,14,1,D,G1D,3.5714285714285716,5.0,5.0,7.0,0.0
15,15,1,B,G1S,9.375,4.375,1.25,5.0,0.875
16,16,1,B,G1S,8.75,3.75,4.375,5.0,0.75
17,17,1,C,G1D,30.000000000000004,7.857142857142858,2.857142857142857,22.142857142857146,0.3548387096774193
18,18,1,D,G1S,24.375,5.0,1.25,19.375,0.25806451612903225
19,19,1,C,G2,33.63636363636363,6.363636363636363,3.6363636363636362,27.27272727272727,0.23333333333333334
20,20,1,C,G1S,8.75,1.875,6.875,6.875,0.2727272727272727
21,21,1,B,G1S,4.375,5.0,5.625,4.0,0.0
22,22,1,D,G2,10.0,5.454545454545454,10.0,4.545454545454546,1.0
23,23,1,C,G1D,26.42857142857143,2.857142857142857,1.4285714285714286,23.571428571428573,0.1212121212121212
24,24,1,D,G3,37.39130434782609,6.666666666666666,2.608695652173913,30.72463768115943,0.21698113207547162
25,25,1,B,G3,33.913043478260875,4.761904761904762,0.0,29.15113871635611,0.1633522727272727
26,26,1,D,G1S,4.375,5.0,0.625,4.0,0.0
27,27,1,A,G2,23.636363636363633,7.2727272727272725,0.0,16.36363636363636,0.44444444444444453
28,28,1,A,G3,33.04347826086957,1.9047619047619047,7.82608695652174,31.138716356107665,0.06117021276595744
29,29,1,C,G1D,13.571428571428573,6.428571428571429,7.857142857142858,7.142857142857144,0.8999999999999999
30,30,1,D,G3,30.434782608695656,6.666666666666666,5.217391304347826,23.76811594202899,0.2804878048780487
31,31,1,D,G3,9.56521739130435,8.571428571428571,6.086956521739131,0.9937888198757783,1.0
32,32,1,A,G3,33.913043478260875,0.9523809523809523,0.0,32.960662525879926,0.028894472361809035
33,33,1,A,G1D,9.285714285714286,6.428571428571429,7.857142857142858,2.8571428571428577,1.0
34,34,1,A,G1S,4.375,0.0,5.0,4.375,0.0
35,35,1,B,G2,20.0,0.0,1.8181818181818181,20.0,0.0
36,36,1,A,G1D,15.000000000000002,2.857142857142857,1.4285714285714286,12.142857142857144,0.2352941176470588
37,37,1,B,G3,14.782608695652176,7.619047619047619,8.695652173913045,7.163561076604557,1.0
38,38,1,A,G3,2.608695652173913,0.9523809523809523,8.695652173913045,1.6563146997929608,0.575
39,39,1,B,G2,7.2727272727272725,3.6363636363636362,0.0,3.6363636363636362,1.0
40,40,1,A,G3,26.956521739130437,3.8095238095238093,3.4782608695652177,23.146997929606627,0.16457960644007152
41,41,1,D,G1S,10.0,4.375,5.625,5.625,0.7777777777777778
42,42,1,B,G3,35.652173913043484,3.8095238095238093,4.347826086956522,31.842650103519674,0.11963589076723015
43,43,1,C,G2,32.72727272727273,2.727272727272727,10.0,30.0,0.0909090909090909
44,44,1,B,G1D,3.5714285714285716,5.714285714285714,7.142857142857143,7.0,0.0
45,45,1,B,G1S,23.125,0.0,3.75,23.125,0.0
46,46,1,C,G1S,3.75,1.875,0.0,1.875,1.0
47,47,1,C,G1D,22.142857142857146,7.142857142857143,7.857142857142858,15.000000000000004,0.4761904761904761
48,48,1,C,G1D,19.28571428571429,4.285714285714286,5.0,15.000000000000004,0.28571428571428564
49,49,1,C,G1D,3.5714285714285716,7.857142857142858,1.4285714285714286,7.0,0.0
50,50,1,B,G3,0.8695652173913044,10.476190476190476,7.82608695652174,12.0,0.0
51,51,1,A,G1D,30.714285714285715,7.142857142857143,7.857142857142858,23.571428571428573,0.30303030303030304
52,52,1,D,G3,26.086956521739133,9.523809523809524,6.9565217391304355,16.563146997929607,0.575
53,53,1,B,G1S,25.0,6.875,4.375,18.125,0.3793103448275862
54,54,1,A,G1D,25.714285714285715,5.0,0.0,20.714285714285715,0.24137931034482757
55,55,1,C,G3,4.347826086956522,6.666666666666666,9.56521739130435,12.0,0.0
56,56,1,C,G3,8.695652173913045,9.523809523809524,9.56521739130435,12.0,0.0
57,57,1,D,G2,4.545454545454545,4.545454545454545,1.8181818181818181,11.0,0.0
58,58,1,A,G1S,26.875,1.25,2.5,25.625,0.04878048780487805
59,59,1,B,G2,29.999999999999996,8.181818181818182,0.0,21.818181818181813,0.37500000000000006
60,60,1,A,G1D,10.0,4.285714285714286,6.428571428571429,5.714285714285714,0.75
61,61,1,C,G1S,19.375,1.875,5.625,17.5,0.10714285714285714
62,62,1,C,G3,10.434782608695652,7.619047619047619,3.4782608695652177,2.8157349896480337,1.0
63,63,1,B,G3,10.434782608695652,6.666666666666666,6.086956521739131,3.7681159420289863,1.0
64,64,1,B,G3,23.47826086956522,10.476190476190476,9.56521739130435,13.002070393374742,0.805732484076433
65,65,1,C,G1D,21.42857142857143,2.857142857142857,2.857142857142857,18.571428571428573,0.15384615384615383
66,66,1,A,G1S,10.625,0.625,1.875,10.0,0.0625
67,67,1,C,G3,22.608695652173914,6.666666666666666,0.0,15.942028985507248,0.4181818181818181
68,68,1,D,G2,3.6363636363636362,7.2727272727272725,4.545454545454545,11.0,0.0
69,69,1,A,G3,6.9565217391304355,0.9523809523809523,6.086956521739131,6.004140786749483,0.1586206896551724
70,70,1,D,G2,16.363636363636363,8.181818181818182,0.9090909090909091,8.181818181818182,1.0
71,71,1,A,G3,9.56521739130435,7.619047619047619,5.217391304347826,1.9461697722567308,1.0
72,72,1,D,G1D,21.42857142857143,1.4285714285714286,2.857142857142857,20.000000000000004,0.07142857142857141
73,73,1,B,G1S,18.75,5.0,0.625,13.75,0.36363636363636365
74,74,1,D,G1D,1.4285714285714286,0.0,0.7142857142857143,1.4285714285714286,0.0
75,75,1,A,G2,29.09090909090909,9.09090909090909,8.181818181818182,20.0,0.4545454545454545
76,76,1,A,G1S,11.875,3.125,2.5,8.75,0.35714285714285715
77,77,1,C,G1D,18.571428571428573,3.5714285714285716,1.4285714285714286,15.000000000000002,0.23809523809523808
78,78,1,B,G1D,22.857142857142858,0.7142857142857143,6.428571428571429,22.142857142857142,0.03225806451612903
79,79,1,A,G2,34.54545454545454,4.545454545454545,5.454545454545454,29.999999999999993,0.15151515151515155
80,80,1,D,G2,20.909090909090907,10.0,8.181818181818182,10.909090909090907,0.9166666666666669
81,81,1,A,G3,1.7391304347826089,4.761904761904762,0.0,12.0,0.0
82,82,1,C,G1D,26.42857142857143,6.428571428571429,2.857142857142857,20.0,0.32142857142857145
83,83,1,D,G1D,6.428571428571429,6.428571428571429,0.7142857142857143,7.0,0.0
84,84,1,C,G1D,22.142857142857146,0.0,1.4285714285714286,22.142857142857146,0.0
85,85,1,D,G1S,25.625,3.75,2.5,21.875,0.17142857142857143
86,86,1,D,G1S,8.75,0.625,3.75,8.125,0.07692307692307693
87,87,1,B,G2,34.54545454545454,0.9090909090909091,8.181818181818182,33.63636363636363,0.02702702702702703
88,88,1,A,G2,30.909090909090907,1.8181818181818181,2.727272727272727,29.09090909090909,0.0625
89,89,1,B,G1S,8.75,3.125,5.625,5.625,0.5555555555555556
90,90,1,B,G2,28.18181818181818,4.545454545454545,2.727272727272727,23.636363636363633,0.19230769230769232
91,91,1,D,G3,10.434782608695652,0.9523809523809523,7.82608695652174,9.4824016563147,0.10043668122270742
92,92,1,D,G1S,6.875,2.5,4.375,4.375,0.5714285714285714
93,93,1,D,G2,0.0,2.727272727272727,9.09090909090909,11.0,0.0
94,94,1,B,G1D,27.142857142857146,2.142857142857143,1.4285714285714286,25.000000000000004,0.0857142857142857
95,95,1,D,G2,33.63636363636363,7.2727272727272725,8.181818181818182,26.36363636363636,0.2758620689655173
96,96,1,A,G2,8.181818181818182,3.6363636363636362,10.0,4.545454545454545,0.8
97,97,1,B,G1D,11.428571428571429,5.0,2.857142857142857,6.428571428571429,0.7777777777777778
98,98,1,C,G1S,18.125,2.5,0.0,15.625,0.16
99,99,1,B,G3,33.04347826086957,1.9047619047619047,3.4782608695652177,31.138716356107665,0.06117021276595744
100,100,1,B,G1S,24.375,6.875,6.875,17.5,0.39285714285714285
101,101,1,B,G1D,10.714285714285715,0.7142857142857143,5.714285714285714,10.000000000000002,0.07142857142857141
102,102,1,A,G1D,25.0,2.857142857142857,6.428571428571429,22.142857142857142,0.12903225806451613
103,103,1,C,G1S,20.625,1.875,6.25,18.75,0.1
104,104,1,D,G1D,27.857142857142858,1.4285714285714286,3.5714285714285716,26.42857142857143,0.05405405405405405
105,105,1,D,G1D,17.857142857142858,0.7142857142857143,5.714285714285714,17.142857142857142,0.04166666666666667
106,106,1,A,G1D,18.571428571428573,2.142857142857143,7.142857142857143,16.42857142857143,0.13043478260869562
107,107,1,D,G1D,30.000000000000004,4.285714285714286,1.4285714285714286,25.71428571428572,0.16666666666666663
108,108,1,C,G1D,15.714285714285715,3.5714285714285716,2.857142857142857,12.142857142857144,0.29411764705882354
109,109,1,D,G1D,26.42857142857143,5.714285714285714,7.857142857142858,20.714285714285715,0.27586206896551724
110,110,1,D,G2,1.8181818181818181,6.363636363636363,7.2727272727272725,11.0,0.0
111,111,1,C,G3,15.65217391304348,2.857142857142857,0.0,12.795031055900623,0.2233009708737864
112,112,1,A,G2,0.9090909090909091,2.727272727272727,0.0,11.0,0.0
113,113,1,B,G1S,9.375,3.75,1.875,5.625,0.6666666666666666
114,114,1,D,G2,30.909090909090907,0.9090909090909091,3.6363636363636362,29.999999999999996,0.030303030303030307
115,115,1,C,G3,23.47826086956522,7.619047619047619,6.086956521739131,15.8592132505176,0.4804177545691905
116,116,1,D,G2,37.272727272727266,2.727272727272727,0.0,34.54545454545454,0.07894736842105264
117,117,1,B,G1D,30.714285714285715,5.714285714285714,2.142857142857143,25.0,0.22857142857142856
118,118,1,D,G1D,28.571428571428573,3.5714285714285716,5.714285714285714,25.0,0.14285714285714288
119,119,1,A,G1S,8.75,0.625,3.75,8.125,0.07692307692307693
120,120,1,B,G1D,27.142857142857146,1.4285714285714286,5.714285714285714,25.71428571428572,0.055555555555555546
121,121,1,B,G2,0.9090909090909091,8.181818181818182,6.363636363636363,11.0,0.0
122,122,1,D,G3,32.173913043478265,3.8095238095238093,6.086956521739131,28.364389233954455,0.13430656934306567
123,123,1,C,G1S,10.0,3.75,1.25,6.25,0.6
124,124,1,D,G1D,30.714285714285715,5.714285714285714,0.7142857142857143,25.0,0.22857142857142856
125,125,1,D,G1S,20.0,6.25,4.375,13.75,0.45454545454545453
126,126,1,B,G3,2.608695652173913,9.523809523809524,6.086956521739131,12.0,0.0
127,127,1,A,G3,4.347826086956522,4.761904761904762,7.82608695652174,12.0,0.0
128,128,1,D,G1D,3.5714285714285716,7.142857142857143,4.285714285714286,7.0,0.0
129,129,1,A,G2,33.63636363636363,1.8181818181818181,7.2727272727272725,31.818181818181817,0.05714285714285714
130,130,1,C,G1S,0.0,1.25,2.5,4.0,0.0
131,131,1,D,G3,23.47826086956522,10.476190476190476,9.56521739130435,13.002070393374742,0.805732484076433
132,132,1,A,G1S,13.125,5.625,5.625,7.5,0.75
133,133,1,B,G1D,16.42857142857143,5.0,0.7142857142857143,11.42857142857143,0.43749999999999994
134,134,1,B,G1D,7.142857142857143,1.4285714285714286,7.857142857142858,5.714285714285714,0.25
135,135,1,D,G2,16.363636363636363,0.9090909090909091,4.545454545454545,15.454545454545455,0.058823529411764705
136,136,1,B,G1S,11.25,2.5,3.125,8.75,0.2857142857142857
137,137,1,D,G1D,18.571428571428573,6.428571428571429,2.857142857142857,12.142857142857144,0.5294117647058824
138,138,1,A,G2,10.0,0.9090909090909091,2.727272727272727,9.090909090909092,0.09999999999999999
139,139,1,A,G2,24.545454545454543,10.0,3.6363636363636362,14.545454545454543,0.6875000000000001
140,140,1,A,G1D,1.4285714285714286,3.5714285714285716,7.857142857142858,7.0,0.0
141,141,1,A,G1S,6.25,3.125,0.0,3.125,1.0
142,142,1,C,G1D,2.142857142857143,3.5714285714285716,3.5714285714285716,7.0,0.0
143,143,1,D,G2,18.18181818181818,5.454545454545454,1.8181818181818181,12.727272727272727,0.42857142857142855
144,144,1,B,G3,28.695652173913047,9.523809523809524,9.56521739130435,19.17184265010352,0.49676025917926564
145,145,1,A,G2,30.909090909090907,0.0,8.181818181818182,30.909090909090907,0.0
146,146,1,C,G2,21.818181818181817,1.8181818181818181,0.0,20.0,0.09090909090909091
147,147,1,C,G3,8.695652173913045,7.619047619047619,6.086956521739131,1.0766045548654262,1.0
148,148,1,A,G1S,5.0,5.625,0.625,4.0,0.0
149,149,1,B,G2,38.18181818181818,9.09090909090909,7.2727272727272725,29.09090909090909,0.3125
150,150,1,B,G1D,29.28571428571429,0.7142857142857143,6.428571428571429,28.571428571428573,0.024999999999999998
151,151,1,D,G1D,20.0,7.857142857142858,0.0,12.142857142857142,0.6470588235294118
152,152,1,D,G1S,22.5,2.5,4.375,20.0,0.125
153,153,1,C,G1S,5.0,0.625,6.25,4.375,0.14285714285714285
154,154,1,B,G2,12.727272727272727,2.727272727272727,1.8181818181818181,10.0,0.2727272727272727
155,155,1,A,G2,21.818181818181817,4.545454545454545,9.09090909090909,17.272727272727273,0.2631578947368421
156,156,1,A,G1D,12.142857142857144,2.142857142857143,0.7142857142857143,10.000000000000002,0.21428571428571425
157,157,1,A,G1S,1.25,0.0,2.5,1.25,0.0
158,158,1,B,G2,20.0,2.727272727272727,8.181818181818182,17.272727272727273,0.15789473684210525
159,159,1,B,G1D,27.857142857142858,2.142857142857143,5.714285714285714,25.714285714285715,0.08333333333333333
160,160,1,D,G2,10.909090909090908,8.181818181818182,3.6363636363636362,2.7272727272727266,1.0
161,161,1,A,G1D,2.857142857142857,2.857142857142857,4.285714285714286,7.0,0.0
162,162,1,B,G2,24.545454545454543,2.727272727272727,10.0,21.818181818181817,0.125
163,163,1,D,G3,6.086956521739131,9.523809523809524,0.8695652173913044,12.0,0.0
164,164,1,A,G1D,15.000000000000002,7.857142857142858,7.857142857142858,7.142857142857144,1.0
165,165,1,B,G1S,21.25,5.0,3.125,16.25,0.3076923076923077
166,166,1,B,G2,23.636363636363633,0.0,8.181818181818182,23.636363636363633,0.0
167,167,1,D,G1D,11.428571428571429,3.5714285714285716,2.857142857142857,7.857142857142858,0.45454545454545453
168,168,1,B,G1D,26.42857142857143,0.7142857142857143,2.857142857142857,25.714285714285715,0.027777777777777776
169,169,1,A,G1D,3.5714285714285716,6.428571428571429,3.5714285714285716,7.0,0.0
170,170,1,C,G1D,25.0,5.0,2.857142857142857,20.0,0.25
171,171,1,D,G3,20.0,4.761904761904762,6.086956521739131,15.238095238095237,0.3125
172,172,1,D,G1S,20.625,5.0,3.125,15.625,0.32
173,173,1,D,G3,28.695652173913047,7.619047619047619,0.0,21.076604554865426,0.36149312377210213
174,174,1,A,G1D,20.0,2.142857142857143,1.4285714285714286,17.857142857142858,0.12
175,175,1,A,G3,14.782608695652176,5.714285714285714,3.4782608695652177,9.06832298136646,0.6301369863013698
176,176,1,A,G2,20.909090909090907,7.2727272727272725,4.545454545454545,13.636363636363633,0.5333333333333334
177,177,1,A,G2,19.09090909090909,7.2727272727272725,2.727272727272727,11.818181818181817,0.6153846153846154
178,178,1,C,G3,1.7391304347826089,5.714285714285714,0.8695652173913044,12.0,0.0
179,179,1,B,G1D,24.28571428571429,5.0,2.857142857142857,19.28571428571429,0.25925925925925924
180,180,1,A,G1D,25.714285714285715,3.5714285714285716,0.7142857142857143,22.142857142857142,0.16129032258064518
181,181,1,B,G3,31.30434782608696,8.571428571428571,4.347826086956522,22.73291925465839,0.3770491803278687
182,182,1,A,G1D,21.42857142857143,0.0,3.5714285714285716,21.42857142857143,0.0
183,183,1,A,G3,20.0,10.476190476190476,7.82608695652174,9.523809523809524,1.0
184,184,1,B,G1D,8.571428571428571,7.857142857142858,5.0,0.7142857142857135,1.0
185,185,1,A,G3,16.521739130434785,6.666666666666666,4.347826086956522,9.855072463768119,0.6764705882352938
186,186,1,D,G1D,12.857142857142858,7.142857142857143,1.4285714285714286,5.714285714285714,1.0
187,187,1,C,G1D,0.7142857142857143,2.857142857142857,4.285714285714286,7.0,0.0
188,188,1,C,G2,0.9090909090909091,7.2727272727272725,6.363636363636363,11.0,0.0
189,189,1,B,G1S,20.0,5.625,0.0,14.375,0.391304347826087
190,190,1,D,G3,36.52173913043479,8.571428571428571,8.695652173913045,27.95031055900622,0.3066666666666666
191,191,1,C,G2,11.818181818181817,9.09090909090909,0.9090909090909091,2.7272727272727266,1.0
192,192,1,C,G2,0.9090909090909091,3.6363636363636362,7.2727272727272725,11.0,0.0
193,193,1,D,G1D,15.000000000000002,1.4285714285714286,6.428571428571429,13.571428571428573,0.10526315789473684
194,194,1,A,G2,24.545454545454543,0.0,3.6363636363636362,24.545454545454543,0.0
195,195,1,B,G2,1.8181818181818181,5.454545454545454,5.454545454545454,11.0,0.0
196,196,1,B,G1D,12.857142857142858,4.285714285714286,0.0,8.571428571428573,0.4999999999999999
197,197,1,D,G1D,4.285714285714286,7.142857142857143,3.5714285714285716,7.0,0.0
198,198,1,A,G1S,13.125,1.875,0.625,11.25,0.16666666666666666
199,199,1,C,G1D,13.571428571428573,7.857142857142858,2.142857142857143,5.714285714285715,1.0
200,0,2,B,G1S,8.75,0.625,1.25,8.125,0.07692307692307693
201,1,2,D,G1D,10.0,5.714285714285714,7.142857142857143,4.285714285714286,1.0
202,2,2,B,G1S,25.0,6.875,1.25,18.125,0.3793103448275862
203,3,2,C,G3,23.47826086956522,3.8095238095238093,6.9565217391304355,19.66873706004141,0.19368421052631576
204,4,2,A,G1S,23.125,6.875,5.0,16.25,0.4230769230769231
205,5,2,B,G1S,20.0,1.25,6.875,18.75,0.06666666666666667
206,6,2,D,G1D,0.7142857142857143,3.5714285714285716,5.0,7.0,0.0
207,7,2,D,G2,0.9090909090909091,4.545454545454545,5.454545454545454,11.0,0.0
208,8,2,C,G1D,15.714285714285715,3.5714285714285716,7.142857142857143,12.142857142857144,0.29411764705882354
209,9,2,B,G1D,20.0,1.4285714285714286,5.0,18.571428571428573,0.07692307692307691
210,10,2,A,G1S,13.125,3.125,3.75,10.0,0.3125
211,11,2,C,G1S,9.375,0.625,6.875,8.75,0.07142857142857142
212,12,2,C,G2,16.363636363636363,0.0,4.545454545454545,16.363636363636363,0.0
213,13,2,D,G1D,27.857142857142858,2.142857142857143,2.857142857142857,25.714285714285715,0.08333333333333333
214,14,2,D,G1D,25.0,5.0,7.142857142857143,20.0,0.25
215,15,2,B,G1S,8.75,0.625,1.25,8.125,0.07692307692307693
216,16,2,B,G1S,20.625,2.5,6.875,18.125,0.13793103448275862
217,17,2,C,G1D,5.714285714285714,1.4285714285714286,5.0,4.285714285714286,0.33333333333333337
218,18,2,D,G1S,11.25,6.25,1.875,5.0,1.0
219,19,2,C,G2,23.636363636363633,4.545454545454545,0.9090909090909091,19.090909090909086,0.23809523809523814
220,20,2,C,G1S,0.0,3.75,3.75,4.0,0.0
221,21,2,B,G1S,21.875,1.875,2.5,20.0,0.09375
222,22,2,D,G2,18.18181818181818,0.9090909090909091,8.181818181818182,17.27272727272727,0.052631578947368425
